"LANGUAGE","Magyar","Language name (in native language)."
"LANGUAGE_CHOICE","Válassz nyelvet","Heading for language selection menu."
"LANGUAGE_GAME","Használja a rendszer nyelvét","Default selection in language selection menu."
"NOTE_CLOSE","Bezárás","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Ne mutassa újra","Notification button text - don't show this notification again."
"NO","Nem","Notification button text - don't perform this action."
"YES","Igen","Notification button text - perfom this action."
"PRESS_ANY_KEY","Nyomj meg egy gombot!","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","Mod ütközés észlelve!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Ez azt jelenti, hogy a mod nem tud működni, és leállt.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Az ütköző modok a következők:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","A mod nem tudta megfelelően alkalmazni a szükséges Harmony javításokat.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","A probléma lehetséges okai a következők:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","A szükséges Harmony 2 mod nincs telepítve","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Egy régi és/vagy hibás mod megakadályozza a Harmony 2 megfelelő működését","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Lehet, hogy egy másik mod egy ütköző Harmony javítást próbál alkalmazni","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"DETAIL_LOGGING","Részletes hibakeresési naplózás engedélyezése","Option to record more detail in game log"
