"LANGUAGE","Italiano","Language name (in native language)."
"LANGUAGE_CHOICE","Seleziona la lingua","Heading for language selection menu."
"LANGUAGE_GAME","Usa la lingua del gioco","Default selection in language selection menu."
"NOTE_CLOSE","Chiudi","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Non mostrare di nuovo","Notification button text - don't show this notification again."
"NO","No","Notification button text - don't perform this action."
"YES","Sì","Notification button text - perfom this action."
"PRESS_ANY_KEY","Premi un tasto qualsiasi","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","Conflitto tra mod rilevato!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Ciò significa che la mod non è in grado di funzionare e si è arrestata.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Le mod in conflitto sono:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","La mod non è stata in grado di applicare correttamente le patch Harmony necessarie.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Le possibili cause di questo problema includono:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","La mod condizionale Harmony 2 non è stata installata","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Una mod vecchia e/o fuori uso non consente ad Harmony 2 di funzionare correttamente","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Un'altra mod potrebbe provare ad applicare una patch conflittuale di Harmony","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"DETAIL_LOGGING","Abilita registrazione dettagliata di debug","Option to record more detail in game log"
